Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-07,2016,4,7,Thursday,14,2016-14,765.32,769.36,757.5,760.12,1274900,760.12,-0.010350634878619092,761.5699999999999,739.318
2016-04-08,2016,4,8,Friday,14,2016-14,765.87,767.13,755.77,759.47,1171700,759.47,-0.0008551602618508403,761.86,740.1558
2016-04-11,2016,4,11,Monday,15,2016-15,765.45,767.22,757.34,757.54,1588700,757.54,-0.002541236323003626,761.53,740.3406
2016-04-12,2016,4,12,Tuesday,15,2016-15,758.43,764.92,751.57,764.32,1369400,764.32,0.00895006137435872,761.835,740.4
2016-04-13,2016,4,13,Wednesday,15,2016-15,770.31,775.75,764.59,771.91,1771300,771.91,0.00993035083156335,762.8599999999999,740.4227999999999
2016-04-14,2016,4,14,Thursday,15,2016-15,775.36,779.61,773.22,775.39,1349600,775.39,0.004508351524115772,764.3278571428572,740.3123999999999
2016-04-15,2016,4,15,Friday,15,2016-15,775.5,780.93,774.93,780.0,1585600,780.0,0.005945376216448528,766.2364285714286,740.9248
2016-04-18,2016,4,18,Monday,16,2016-16,780.19,788.55,777.61,787.68,1677000,787.68,0.009846144456129746,767.7928571428571,742.0778
2016-04-19,2016,4,19,Tuesday,16,2016-16,790.5,790.95,770.27,776.25,2197600,776.25,-0.014510959757849218,768.357857142857,743.5275999999999
2016-04-20,2016,4,20,Wednesday,16,2016-16,779.16,779.66,771.27,774.92,1713100,774.92,-0.0017133875553542177,769.2164285714285,744.9428
2016-04-21,2016,4,21,Thursday,16,2016-16,777.31,781.68,771.55,780.0,3881400,780.0,0.006555537606303785,769.9542857142857,746.5224
2016-04-22,2016,4,22,Friday,16,2016-16,743.91,753.92,730.37,737.77,7039900,737.77,-0.0541410006009615,768.0007142857143,747.1408
2016-04-25,2016,4,25,Monday,17,2016-17,735.35,744.88,735.1,742.21,2472100,742.21,0.006018138883208124,766.8321428571429,747.8578
